Age,Gender,Protein,Iron,Calcium,Sodium,Potassium,Fibre,VitaminD,Sugar
16,0,65,11,1300,690,3600,28,15,30
17,0,65,11,1300,690,3600,28,15,30
18,0,65,11,1300,690,3600,28,15,30
19,0,64,8,1000,690,3800,30,15,30
20,0,64,8,1000,690,3800,30,15,30
21,0,64,8,1000,690,3800,30,15,30
22,0,64,8,1000,690,3800,30,15,30
23,0,64,8,1000,690,3800,30,15,30
24,0,64,8,1000,690,3800,30,15,30
25,0,64,8,1000,690,3800,30,15,30
26,0,64,8,1000,690,3800,30,15,30
27,0,64,8,1000,690,3800,30,15,30
28,0,64,8,1000,690,3800,30,15,30
29,0,64,8,1000,690,3800,30,15,30
30,0,64,8,1000,690,3800,30,15,30
31,0,64,8,1000,690,3800,30,15,30
32,0,64,8,1000,690,3800,30,15,30
33,0,64,8,1000,690,3800,30,15,30
34,0,64,8,1000,690,3800,30,15,30
35,0,64,8,1000,690,3800,30,15,30
36,0,64,8,1000,690,3800,30,15,30
37,0,64,8,1000,690,3800,30,15,30
38,0,64,8,1000,690,3800,30,15,30
39,0,64,8,1000,690,3800,30,15,30
40,0,64,8,1000,690,3800,30,15,30
41,0,64,8,1000,690,3800,30,15,30
42,0,64,8,1000,690,3800,30,15,30
43,0,64,8,1000,690,3800,30,15,30
44,0,64,8,1000,690,3800,30,15,30
45,0,64,8,1000,690,3800,30,15,30
46,0,64,8,1000,690,3800,30,15,30
47,0,64,8,1000,690,3800,30,15,30
48,0,64,8,1000,690,3800,30,15,30
49,0,64,8,1000,690,3800,30,15,30
50,0,64,8,1000,690,3800,30,15,30
51,0,64,8,1000,690,3800,30,15,30
52,0,64,8,1000,690,3800,30,15,30
53,0,64,8,1000,690,3800,30,15,30
54,0,64,8,1000,690,3800,30,15,30
55,0,64,8,1000,690,3800,30,15,30
56,0,64,8,1000,690,3800,30,15,30
57,0,64,8,1000,690,3800,30,15,30
58,0,64,8,1000,690,3800,30,15,30
59,0,64,8,1000,690,3800,30,15,30
60,0,64,8,1000,690,3800,30,15,30
61,0,64,8,1000,690,3800,30,15,30
62,0,64,8,1000,690,3800,30,15,30
63,0,64,8,1000,690,3800,30,15,30
64,0,64,8,1000,690,3800,30,15,30
65,0,64,8,1000,690,3800,30,15,30
66,0,64,8,1000,690,3800,30,15,30
67,0,64,8,1000,690,3800,30,15,30
68,0,64,8,1000,690,3800,30,15,30
69,0,64,8,1000,690,3800,30,15,30
70,0,81,8,1300,690,3800,30,15,30
71,0,81,8,1300,690,3800,30,20,30
72,0,81,8,1300,690,3800,30,20,30
73,0,81,8,1300,690,3800,30,20,30
74,0,81,8,1300,690,3800,30,20,30
75,0,81,8,1300,690,3800,30,20,30
76,0,81,8,1300,690,3800,30,20,30
77,0,81,8,1300,690,3800,30,20,30
78,0,81,8,1300,690,3800,30,20,30
79,0,81,8,1300,690,3800,30,20,30
80,0,81,8,1300,690,3800,30,20,30
16,1,45,15,1300,690,2600,22,15,30
17,1,45,15,1300,690,2600,22,15,30
18,1,45,15,1300,690,2600,22,15,30
19,1,46,18,1000,690,2800,25,15,30
20,1,46,18,1000,690,2800,25,15,30
21,1,46,18,1000,690,2800,25,15,30
22,1,46,18,1000,690,2800,25,15,30
23,1,46,18,1000,690,2800,25,15,30
24,1,46,18,1000,690,2800,25,15,30
25,1,46,18,1000,690,2800,25,15,30
26,1,46,18,1000,690,2800,25,15,30
27,1,46,18,1000,690,2800,25,15,30
28,1,46,18,1000,690,2800,25,15,30
29,1,46,18,1000,690,2800,25,15,30
30,1,46,18,1000,690,2800,25,15,30
31,1,46,18,1000,690,2800,25,15,30
32,1,46,18,1000,690,2800,25,15,30
33,1,46,18,1000,690,2800,25,15,30
34,1,46,18,1000,690,2800,25,15,30
35,1,46,18,1000,690,2800,25,15,30
36,1,46,18,1000,690,2800,25,15,30
37,1,46,18,1000,690,2800,25,15,30
